table_name,ordinal_position,column_name,data_type,is_nullable,column_default
ac_breaker_specs,1,item_id,uuid,NO,null
ac_breaker_specs,2,item_code,text,YES,null
ac_breaker_specs,3,rating_a,numeric,YES,null
ac_breaker_specs,4,name,text,YES,null
ac_breaker_specs,5,price_per_breaker,numeric,YES,null
ac_breaker_specs,6,breaker_type,text,YES,null
ac_breaker_specs,7,is_projects_needed,boolean,YES,null
ac_breaker_specs,8,created_at,timestamp with time zone,NO,now()
ac_breaker_specs,9,updated_at,timestamp with time zone,YES,null
ac_cabling_specs,1,item_id,uuid,NO,null
ac_cabling_specs,2,item_code,text,NO,null
ac_cabling_specs,5,conductor_material,text,YES,null
ac_cabling_specs,6,single_core_price_per_meter,numeric,YES,null
ac_cabling_specs,7,size_mm2,numeric,YES,null
ac_cabling_specs,8,4c_plus_earth_price_per_meter,numeric,YES,null
ac_cabling_specs,9,inclusion,text,YES,null
ac_cabling_specs,10,notes,text,YES,null
ac_cabling_specs,11,created_at,timestamp with time zone,NO,now()
ac_cabling_specs,12,updated_at,timestamp with time zone,YES,null
ac_calc,1,id,uuid,NO,gen_random_uuid()
ac_calc,2,quote_id,uuid,YES,null
ac_calc,3,calc_sheet,jsonb,YES,null
ac_calc,4,created_at,timestamp with time zone,NO,now()
ac_calc,5,updated_at,timestamp with time zone,YES,null
ac_combiner_specs,1,item_id,uuid,NO,null
ac_combiner_specs,2,item_code,text,NO,null
ac_combiner_specs,3,ac_combiner_name,text,YES,null
ac_combiner_specs,4,ac_combiner_price_per_unit,numeric,YES,null
ac_combiner_specs,10,notes,text,YES,null
ac_combiner_specs,11,created_at,timestamp with time zone,NO,now()
ac_combiner_specs,12,updated_at,timestamp with time zone,YES,null
additional_racking_specs,1,item_id,uuid,NO,null
additional_racking_specs,2,item_name,text,NO,null
additional_racking_specs,3,item_code,text,YES,null
additional_racking_specs,4,total_added_price,numeric,YES,null
additional_racking_specs,5,cost_per_watt,numeric,YES,null
additional_racking_specs,6,cost_per_item,numeric,YES,null
additional_racking_specs,7,unit,text,YES,null
additional_racking_specs,8,created_at,timestamp with time zone,NO,now()
additional_racking_specs,9,updated_at,timestamp with time zone,YES,null
agreement_result,1,id,uuid,NO,gen_random_uuid()
agreement_result,2,quote_id,uuid,YES,null
agreement_result,3,agreement_sheet,jsonb,YES,null
